"Tabela 3.4 - Rendimento mensal real domiciliar per capita, por sexo e cor ou raça, e razão de rendimentos, com indicação do coeficiente de variação, segundo as Grandes Regiões, as Unidades da Federação e os Municípios das Capitais - 2018",,,,,,,,,,,,,,,,,,,,,,,,,,
"Grandes Regiões, Unidades da Federação e Municípios das Capitais","Rendimento mensal efetivo domiciliar per capita médio das pessoas residentes em arranjos domiciliares (R$)",,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,Homens,,,,,,Mulheres,,,,,,"Preta ou parda / Branca (B/A)",,"Homens pretos ou pardos /
Homens brancos (D/C)",,"Mulheres brancas /
Homens brancos (D/C)",,"Mulheres pretas ou pardas
/ Homens brancos (F/C)",
,Total,,"Cor ou raça",,,,Total,,"Cor ou raça",,,,"Total ",,"Cor ou raça",,,,,,,,,,,
,,,"Branca (A)",,"Preta ou parda (B)",,,,"Branca (C)",,"Preta ou parda (D)",,,,"Branca (E)",,"Preta ou parda (F)",,,,,,,,,
,Valor,"CV (%)",Valor,"CV (%)",Valor,"CV (%)",Valor,"CV (%)",Valor,"CV (%)",Valor,"CV (%)",Valor,"CV (%)",Valor,"CV (%)",Valor,"CV (%)",Valor,"CV (%)",Valor,"CV (%)",Valor,"CV (%)",Valor,"CV (%)"
Maceió,1060.2380159673883,8.121400801287425,1696.683604248956,10.386673053892045,794.8564867856531,22.17116947047749,1109.7489479461,8.458828253256877,1835.688668351283,10.111461108669364,815.4485753076041,7.135470781413285,1016.0818795161542,8.249746938513521,1576.5484390509205,11.813285246158287,776.2770895981216,6.349697394111215,46.84765531977305,23.184883552453304,44.4219430760008,9.46432900604124,85.88321463393308,7.4189088823151605,42.288058045013265,8.566827078655297
Sergipe,896.7120466099896,7.00693610517942,1186.5958989194248,9.591196064729465,826.0683772724002,13.777157229669873,890.0828929956064,6.650670587292478,1175.435746272643,9.65309443832148,823.3373233131409,6.585040372281144,902.6867459892601,7.573098030566292,1196.2326674608887,10.073029415481674,828.5623732180388,7.451285616769794,69.61665534363135,14.064171121606368,70.0452854121528,8.361826209165404,101.76929460025303,4.787693626550215,70.4898056610449,7.501238018592776
Aracaju,1602.940561670575,12.953260960367077,2249.3075883171127,15.115184418295469,1452.47256029515,23.40746389313948,1615.14748424753,12.56406143115035,2326.661087834656,15.076050621397036,1456.2171576773435,13.143421892394876,1592.51912957359,13.706285928486906,2187.7205165651103,15.918832727177534,1449.2206665120293,13.96539633336474,64.57420798468301,23.14878605730739,62.58828005898337,14.621423835675925,94.02832789029652,7.299062469217999,62.28757054860833,13.40445029522454
Bahia,834.1713733908222,3.819847725811386,1121.9827944522794,7.698660333322849,770.0697144993289,11.216860333140675,839.1511962991992,3.7425153548095635,1126.3314704819336,8.273134627266215,774.9196049548441,3.1807701912488646,829.4960515308271,4.130982031161143,1117.847921691326,8.126748870007571,765.5161318946583,3.7565012114697973,68.63471688754865,12.695526917294101,68.80031547225367,7.638967121996826,99.24679821056783,5.635900693292211,67.96543930066254,7.142229756546073
Salvador,1592.7468637611867,8.98057534333057,2628.2232988737865,12.442089635342827,1386.186596274251,23.590323232222627,1584.7746948738186,9.00834938678909,2766.4203533790046,15.101069518451077,1370.2426773628715,7.961306594318733,1599.5818508590899,9.235119500427391,2524.9431746427936,12.801210206056785,1400.263619956482,9.255327167867684,52.7423448710862,24.647167935785685,49.53125347307426,13.731159433003516,91.27113208080391,12.248336309825405,50.61644439704003,11.979400954822632
Sudeste,1639.1739390158803,2.4509928153214986,2130.2047121274713,3.2870597677553874,1098.8871107158784,6.372001398538181,1662.6450571979603,2.640865407692091,2165.687630469369,3.6412403185584004,1126.0858931810874,1.4077762312560946,1617.700386481796,2.4311914944579063,2098.745014615282,3.204835439551817,1073.1998307535564,1.391414238901719,51.5859862885385,7.05237515357813,51.99669044316566,3.6889531553736035,96.90894407336211,1.8954657620838402,49.554691805713546,3.634801664759055
"Minas Gerais",1277.9253010832872,2.6055902091432306,1703.9058762134703,3.6886058868233387,995.999181760624,6.310283543088708,1297.3357175038461,2.689875681792108,1725.197754549416,4.012259353369257,1017.0186224822105,1.979165664948125,1259.6918091161347,2.696545705014844,1684.2200454870238,3.752814072302587,976.006374560307,2.1052816894704924,58.453885021747666,6.967598071916868,58.95084315988074,3.978185419581285,97.62475293314449,2.409866924199958,56.57359406981251,3.768399175317469
"Belo Horizonte",2087.2805820868293,7.245953449197755,3057.671660578025,8.12878492051784,1420.7545634357232,17.494334296766713,2165.0225027224396,7.376788849788313,3228.88324841783,8.833775407058381,1443.7317564875436,5.901192306744779,2020.4053926424456,7.418772566662556,2912.164312654488,8.223223915270768,1400.7802677469642,6.413526531940747,46.465242875918946,18.25780511103781,44.71303684315559,9.18052695576139,90.19106881865314,5.058214589507966,43.38280947238814,7.614836790029121
"Espírito Santo",1282.4200649710674,4.107446248787765,1752.5550492451898,5.555869409380187,1005.7050712507341,9.681732015377891,1299.3059036112274,4.280508836653427,1775.3433314761112,6.134121735051992,1022.0069706647787,3.1899886673907316,1266.71265757472,4.130037489080302,1731.7532868841713,5.464339108639106,990.4510006436603,3.2501989927088872,57.38507738652105,10.421676082277981,57.566722590780785,5.703497405451329,97.54469775963295,3.3074904869229975,55.78926526961682,5.554075064513111
Vitória,2988.4304404937734,10.979106905172136,4281.763967703416,9.18363406633628,1940.5920887530463,20.262966991213112,3078.601959977251,11.895652321126702,4587.034364084937,10.694399099813317,1938.6902356726143,11.294566535296958,2912.524208245107,10.748800833083703,4048.3217252326103,9.123026481032309,1942.346959301342,11.796763402674419,45.32225744787866,19.417993375693264,42.26456751342349,11.553025205139908,88.25575314913094,7.451658168648194,42.344286201762934,10.628795943775884
